ExchangeSegment,ExchangeInstrumentID,InstrumentType,Name,Description,Series,NameWithSeries,InstrumentID,PriceBandHigh,PriceBandLow,FreezeQty,TickSize,LotSize,Multiplier,UnderlyingInstrumentId,UnderlyingIndexName,ContractExpiration,StrikePrice,OptionType,displayName,PriceNumerator,PriceDenominator,FullDescription
NSECO,122580,2,WTICRUDE,WTICRUDE24JAN4900CE,OPTFUT,WTICRUDE-OPTFUT,4401700122580,1581.4,522,101,0.1,1,100,4100100000011,,2024-01-17T14:30:00,4900,3,WTICRUDE 17JAN2024 CE 4900,1,1,WTICRUDE24JAN4900CE
NSECO,121890,2,SILVER,SILVER24APR77750PE,OPTBLN,SILVER-OPTBLN,4411700121890,9276,1796,21,0.5,1,30,4100100000003,,2024-04-26T14:30:00,77750,4,SILVER 26APR2024 PE 77750,1,1,SILVER24APR77750PE
NSECO,123753,2,SILVERM,SILVERM24NOV75250CE,OPTFUT,SILVERM-OPTFUT,4432500123753,15767,7630,121,0.5,1,5,4100100000010,,2024-11-20T14:30:00,75250,3,SILVERM 20NOV2024 CE 75250,1,1,SILVERM24NOV75250CE
NSECO,124708,2,WTICRUDE,WTICRUDE24JAN5550CE,OPTFUT,WTICRUDE-OPTFUT,4401700124708,897.2,30.8,101,0.1,1,100,4100100000011,,2024-01-17T14:30:00,5550,3,WTICRUDE 17JAN2024 CE 5550,1,1,WTICRUDE24JAN5550CE
NSECO,121789,2,SILVERM,SILVERM24APR76000CE,OPTFUT,SILVERM-OPTFUT,4411000121789,7809,1283,121,0.5,1,5,4100100000010,,2024-04-19T14:30:00,76000,3,SILVERM 19APR2024 CE 76000,1,1,SILVERM24APR76000CE
NSECO,124436,2,GOLD,GOLD24JAN65500CE,OPTFUT,GOLD-OPTFUT,4402400124436,1116,0.5,11,0.5,1,100,4100100000001,,2024-01-24T14:30:00,65500,3,GOLD 24JAN2024 CE 65500,1,1,GOLD24JAN65500CE
NSECO,122362,2,SILVER,SILVER24FEB75500PE,OPTBLN,SILVER-OPTBLN,4405800122362,7122,0.5,21,0.5,1,30,4100100000003,,2024-02-27T14:30:00,75500,4,SILVER 27FEB2024 PE 75500,1,1,SILVER24FEB75500PE
NSECO,123171,2,COPPER,COPPER24MAR715CE,OPTFUT,COPPER-OPTFUT,4407900123171,99.42,0.01,71,0.01,1,2500,4100100000008,,2024-03-19T14:30:00,715,3,COPPER 19MAR2024 CE 715,1,1,COPPER24MAR715CE
NSECO,122600,2,WTICRUDE,WTICRUDE24FEB5200CE,OPTFUT,WTICRUDE-OPTFUT,4404500122600,1356.3,441.5,101,0.1,1,100,4100100000011,,2024-02-14T14:30:00,5200,3,WTICRUDE 14FEB2024 CE 5200,1,1,WTICRUDE24FEB5200CE
NSECO,122302,2,SILVER,SILVER24APR80500CE,OPTBLN,SILVER-OPTBLN,4411700122302,4423.5,0.5,21,0.5,1,30,4100100000003,,2024-04-26T14:30:00,80500,3,SILVER 26APR2024 CE 80500,1,1,SILVER24APR80500CE
NSECO,125409,2,GOLD,GOLD24NOV58500CE,OPTFUT,GOLD-OPTFUT,4433100125409,17954,7799,11,0.5,1,100,4100100000001,,2024-11-26T14:30:00,58500,3,GOLD 26NOV2024 CE 58500,1,1,GOLD24NOV58500CE
NSECO,124139,2,SILVERM,SILVERM24APR67000CE,OPTFUT,SILVERM-OPTFUT,4411000124139,15916.5,5095.5,121,0.5,1,5,4100100000010,,2024-04-19T14:30:00,67000,3,SILVERM 19APR2024 CE 67000,1,1,SILVERM24APR67000CE
NSECO,125063,2,GOLDM,GOLDM24FEB62500CE,OPTFUT,GOLDM-OPTFUT,4405400125063,5748,0.5,101,0.5,1,10,4100100000002,,2024-02-23T14:30:00,62500,3,GOLDM 23FEB2024 CE 62500,1,1,GOLDM24FEB62500CE
NSECO,122574,2,NATURALGAS,NATURALGAS24MAR260CE,OPTFUT,NATURALGAS-OPTFUT,4408100122574,17.1,5.6,49,0.05,1,1250,4100100000014,,2024-03-21T14:30:00,260,3,NATURALGAS 21MAR2024 CE 260,1,1,NATURALGAS24MAR260CE
NSECO,124297,2,SILVERM,SILVERM24JUN74000CE,OPTFUT,SILVERM-OPTFUT,4417100124297,11620.5,3725.5,121,0.5,1,5,4100100000010,,2024-06-19T14:30:00,74000,3,SILVERM 19JUN2024 CE 74000,1,1,SILVERM24JUN74000CE
NSECO,122278,2,GOLD,GOLD24MAR62200CE,OPTFUT,GOLD-OPTFUT,4408600122278,7631.5,0.5,11,0.5,1,100,4100100000001,,2024-03-26T14:30:00,62200,3,GOLD 26MAR2024 CE 62200,1,1,GOLD24MAR62200CE
NSECO,123620,2,GOLD,GOLD24SEP56600PE,OPTFUT,GOLD-OPTFUT,4426800123620,386,0.5,11,0.5,1,100,4100100000001,,2024-09-24T14:30:00,56600,4,GOLD 24SEP2024 PE 56600,1,1,GOLD24SEP56600PE
NSECO,121767,2,COPPER,COPPER24FEB770PE,OPTFUT,COPPER-OPTFUT,4405100121767,76.3,0.01,71,0.01,1,2500,4100100000008,,2024-02-20T14:30:00,770,4,COPPER 20FEB2024 PE 770,1,1,COPPER24FEB770PE
NSECO,122087,2,SILVER,SILVER24APR77250CE,OPTBLN,SILVER-OPTBLN,4411700122087,6256,265,21,0.5,1,30,4100100000003,,2024-04-26T14:30:00,77250,3,SILVER 26APR2024 CE 77250,1,1,SILVER24APR77250CE
NSECO,125379,2,GOLDM,GOLDM24FEB58700CE,OPTFUT,GOLDM-OPTFUT,4405400125379,10525.5,0.5,101,0.5,1,10,4100100000002,,2024-02-23T14:30:00,58700,3,GOLDM 23FEB2024 CE 58700,1,1,GOLDM24FEB58700CE
NSECO,124688,2,GOLD,GOLD24JUL65200PE,OPTFUT,GOLD-OPTFUT,4420700124688,3635.5,0.5,11,0.5,1,100,4100100000001,,2024-07-25T14:30:00,65200,4,GOLD 25JUL2024 PE 65200,1,1,GOLD24JUL65200PE
NSECO,122773,2,WTICRUDE,WTICRUDE24MAR7050PE,OPTFUT,WTICRUDE-OPTFUT,4407500122773,1492,676.2,101,0.1,1,100,4100100000011,,2024-03-15T14:30:00,7050,4,WTICRUDE 15MAR2024 PE 7050,1,1,WTICRUDE24MAR7050PE
NSECO,123593,2,GOLD,GOLD24JUL60400CE,OPTFUT,GOLD-OPTFUT,4420700123593,12882,3467,11,0.5,1,100,4100100000001,,2024-07-25T14:30:00,60400,3,GOLD 25JUL2024 CE 60400,1,1,GOLD24JUL60400CE
NSECO,123939,2,ZINC,ZINC24MAR245CE,OPTFUT,ZINC-OPTFUT,4407900123939,14.69,0.01,21,0.01,1,5000,4100100000027,,2024-03-19T14:30:00,245,3,ZINC 19MAR2024 CE 245,1,1,ZINC24MAR245CE
NSECO,125435,2,NATURALGAS,NATURALGAS24JAN120CE,OPTFUT,NATURALGAS-OPTFUT,4402300125435,107.05,69.45,49,0.05,1,1250,4100100000014,,2024-01-23T14:30:00,120,3,NATURALGAS 23JAN2024 CE 120,1,1,NATURALGAS24JAN120CE
NSECO,124533,2,GOLD,GOLD24MAR65500CE,OPTFUT,GOLD-OPTFUT,4408600124533,3687,0.5,11,0.5,1,100,4100100000001,,2024-03-26T14:30:00,65500,3,GOLD 26MAR2024 CE 65500,1,1,GOLD24MAR65500CE
