ExchangeSegment,ExchangeInstrumentId,InstrumentType,Name,Description,Series,NameWithSeries,InstrumentId,PriceBandHigh,PriceBandLow,FreezeQty,TickSize,LotSize,Multiplier,UnderlyingInstrumentId,UnderlyingIndexName,ContractExpiration,StrikePrice,OptionType,DisplayName,PriceNumerator,PriceDenominator,DetailedDescription
BSEFO,838441,2,PIDILITIND,PIDILITIND26AUG1580CE,SO,PIDILITIND-SO,12623900838441,129.55,19.55,10000,0.05,500,1,11100100500331,PIDILITIND,2026-08-27T00:00:00,1580,3,PIDILITIND 27AUG2026 CE 1580,1,1,PIDILITIND26AUG1580CE
BSEFO,829043,2,DIVISLAB,DIVISLAB26AUG6900CE,SO,DIVISLAB-SO,12623900829043,362.4,0.05,8000,0.05,100,1,11100100532488,DIVISLAB,2026-08-27T00:00:00,6900,3,DIVISLAB 27AUG2026 CE 6900,1,1,DIVISLAB26AUG6900CE
BSEFO,846882,2,NHPC,NHPC26SEP85CE,SO,NHPC-SO,12626700846882,6.15,0.1,100000000,0.05,6950,1,11100100533098,NHPC,2026-09-24T00:00:00,85,3,NHPC 24SEP2026 CE 85,1,1,NHPC26SEP85CE
BSEFO,843949,2,GMRAIRPORT,GMRAIRPORT26SEP113PE,SO,GMRAIRPORT-SO,12626700843949,10.9,2.9,675000,0.05,6975,1,11100100532754,GMRAIRPORT,2026-09-24T00:00:00,113,4,GMRAIRPORT 24SEP2026 PE 113,1,1,GMRAIRPORT26SEP113PE
BSEFO,1147631,2,TATASTEEL,TATASTEEL26JUL210PE,SO,TATASTEEL-SO,12621101147631,42.15,2.15,220000,0.05,2750,1,11100100500470,TATASTEEL,2026-07-30T00:00:00,210,4,TATASTEEL 30JUL2026 PE 210,1,1,TATASTEEL26JUL210PE
BSEFO,828296,2,TORNTPHARM,TORNTPHARM26AUG4200PE,SO,TORNTPHARM-SO,12623900828296,50.7,0.05,15000,0.05,125,1,11100100500420,TORNTPHARM,2026-08-27T00:00:00,4200,4,TORNTPHARM 27AUG2026 PE 4200,1,1,TORNTPHARM26AUG4200PE
BSEFO,1137727,2,ASTRAL,ASTRAL26JUL1580PE,SO,ASTRAL-SO,12621101137727,308.7,116.6,14680,0.05,425,1,11100100532830,ASTRAL,2026-07-30T00:00:00,1580,4,ASTRAL 30JUL2026 PE 1580,1,1,ASTRAL26JUL1580PE
BSEFO,826297,2,SONACOMS,SONACOMS26AUG620PE,SO,SONACOMS-SO,12623900826297,39.7,0.05,100000000,0.05,1225,1,11100100543300,SONACOMS,2026-08-27T00:00:00,620,4,SONACOMS 27AUG2026 PE 620,1,1,SONACOMS26AUG620PE
BSEFO,845375,2,BHARATFORG,BHARATFORG26SEP2000CE,SO,BHARATFORG-SO,12626700845375,355.5,106.6,30000,0.05,500,1,11100100500493,BHARATFORG,2026-09-24T00:00:00,2000,3,BHARATFORG 24SEP2026 CE 2000,1,1,BHARATFORG26SEP2000CE
BSEFO,834004,2,BHEL,BHEL26AUG390PE,SO,BHEL-SO,12623900834004,41.1,1.1,315000,0.05,2625,1,11100100500103,BHEL,2026-08-27T00:00:00,390,4,BHEL 27AUG2026 PE 390,1,1,BHEL26AUG390PE
BSEFO,1152619,2,CHOLAFIN,CHOLAFIN26JUL1740PE,SO,CHOLAFIN-SO,12621101152619,98.65,0.05,25000,0.05,625,1,11100100511243,CHOLAFIN,2026-07-30T00:00:00,1740,4,CHOLAFIN 30JUL2026 PE 1740,1,1,CHOLAFIN26JUL1740PE
BSEFO,1137288,2,HINDZINC,HINDZINC26JUL560CE,SO,HINDZINC-SO,12621101137288,33.35,0.05,100000000,0.05,1225,1,11100100500188,HINDZINC,2026-07-30T00:00:00,560,3,HINDZINC 30JUL2026 CE 560,1,1,HINDZINC26JUL560CE
BSEFO,841911,2,CONCOR,CONCOR26SEP445PE,SO,CONCOR-SO,12626700841911,18.7,1.6,40000,0.05,1250,1,11100100531344,CONCOR,2026-09-24T00:00:00,445,4,CONCOR 24SEP2026 PE 445,1,1,CONCOR26SEP445PE
